Date,Dow Jones,MSCI World,Fundsmith Equity,LindsellTrain Global Eq
08/10/2015,17050.75,1663.57,212.52,1.8734
09/10/2015,17084.49,1673.77,214.15,1.8921
12/10/2015,17131.86,1674.39,213.79,1.8898
13/10/2015,17081.89,1661.07,215.58,1.9131
14/10/2015,16924.75,1653.01,213.42,1.8882
15/10/2015,17141.75,1675.77,212.8,1.905
16/10/2015,17215.97,1683.55,214.15,1.9196
19/10/2015,17230.54,1679.92,215.34,1.9305
20/10/2015,17217.11,1677.52,216.56,1.9383
21/10/2015,17168.61,1672.87,217.14,1.9182
22/10/2015,17489.16,1689.33,216.44,1.8991
23/10/2015,17646.7,1706.61,219.81,1.9379
26/10/2015,17623.05,1704.98,221.12,1.9379
27/10/2015,17581.43,1696.24,221.68,1.9452
28/10/2015,17779.52,1714.13,222.78,1.9496
29/10/2015,17755.8,1706.61,223.13,1.9378
30/10/2015,17663.54,1705.8,221.95,1.9155
02/11/2015,17828.76,1715.18,219.9,1.8928
03/11/2015,17918.15,1717.39,221.21,1.8965
04/11/2015,17867.58,1713.87,222.17,1.9011
05/11/2015,17863.43,1710.77,222.98,1.9047
06/11/2015,17910.33,1704.39,224.48,1.9151
09/11/2015,17730.48,1691.6,223.47,1.9105
10/11/2015,17758.21,1690.51,221.41,1.9006
11/11/2015,17702.22,1691.88,222.38,1.9126
12/11/2015,17448.07,1671.49,222.29,1.9054
13/11/2015,17245.24,1654.3,218.28,1.8734
16/11/2015,17483.01,1667.45,218.44,1.86
17/11/2015,17489.5,1676.1,221.62,1.8795
18/11/2015,17737.16,1691.55,220.69,1.8802
19/11/2015,17732.75,1700.56,222.36,1.9039
20/11/2015,17823.81,1702.83,222.43,1.9144
23/11/2015,17792.68,1697.3,224.2,1.9272
24/11/2015,17812.19,1695.46,223.55,1.92
25/11/2015,17813.39,1697.83,225.06,1.9314
26/11/2015,17813.39,1703.84,225.6,1.9424
27/11/2015,17798.49,1700.29,225.71,1.9356
30/11/2015,17719.92,1694.4,227.04,1.9351
01/12/2015,17888.35,1710.12,225.73,1.9239
02/12/2015,17729.68,1696.23,227.86,1.9428
03/12/2015,17477.67,1678.23,229.13,1.9442
04/12/2015,17847.63,1694.78,223.71,1.8829
07/12/2015,17730.51,1686.58,229.01,1.9128
08/12/2015,17568,1670.68,228.35,1.898
09/12/2015,17492.3,1664.37,226.6,1.8879
10/12/2015,17574.75,1663.88,223.66,1.8627
11/12/2015,17265.21,1637.83,223.38,1.8517
14/12/2015,17368.5,1632.28,221.77,1.834
15/12/2015,17524.91,1646.69,223.07,1.8254
16/12/2015,17749.09,1668.73,226.21,1.8728
17/12/2015,17495.84,1655.22,230.06,1.9046
18/12/2015,17128.55,1633.75,227.28,1.8815
21/12/2015,17251.62,1638.91,225.62,1.8725
22/12/2015,17417.27,1650.17,226.25,1.8721
23/12/2015,17602.61,1671.51,228.96,1.894
24/12/2015,17552.17,1674,230.08,1.8986
25/12/2015,17552.17,1673.3,230.08,1.8986
28/12/2015,17528.27,1670.39,230.08,1.8986
29/12/2015,17720.98,1685.62,232.08,1.8986
30/12/2015,17603.87,1676.43,234.32,1.9317
31/12/2015,17425.03,1662.79,232.58,1.9187
01/01/2016,17425.03,1662.79,232.58,1.9187
04/01/2016,17148.94,1630.89,229.26,1.8761
05/01/2016,17158.66,1630.64,226.81,1.8648
06/01/2016,16906.51,1610.17,227.48,1.8528
07/01/2016,16514.1,1576.32,226.21,1.842
08/01/2016,16346.45,1561.47,223.95,1.8251
11/01/2016,16398.57,1557.59,223.25,1.8187
12/01/2016,16516.22,1561.68,226.1,1.8336
13/01/2016,16151.41,1544.28,227.77,1.8564
14/01/2016,16379.05,1549.06,223.63,1.8148
15/01/2016,15988.08,1521,224.82,1.819
18/01/2016,15988.08,1514.05,222.66,1.8068
19/01/2016,16016.02,1520.49,224.35,1.8266
20/01/2016,15766.74,1491.73,224.52,1.8127
21/01/2016,15882.68,1497.87,223.63,1.82
22/01/2016,16093.51,1536.79,224,1.8403
25/01/2016,15885.22,1521.15,227.62,1.8692
26/01/2016,16167.23,1535.76,226.61,1.8487
27/01/2016,15944.46,1531.38,228.56,1.8702
28/01/2016,16069.64,1532.68,229,1.8595
29/01/2016,16466.3,1562.18,230.4,1.8817
01/02/2016,16449.18,1566.56,235.88,1.9351
02/02/2016,16153.54,1538.92,234.62,1.9192
03/02/2016,16336.66,1540.87,232.5,1.8928
04/02/2016,16416.58,1548.86,231.07,1.8798
05/02/2016,16204.97,1523.87,230.48,1.8766
08/02/2016,16027.05,1498.54,226.81,1.8537
09/02/2016,16014.38,1488.54,225.17,1.8146
10/02/2016,15914.74,1486.76,225.16,1.8015
11/02/2016,15660.18,1468.9,225.32,1.8003
